
看一下用新的embedding, 不同语言的类似词之间会不会比原来的那个更类似
 ,Word2Vec,MultiCVM,Delta
January-Januar,0.035,0.396,0.361
February-Februar,0.030,0.429,0.399
March-März,0.030,0.332,0.303
April-April,0.037,0.331,0.294
May-Kann,-0.048,0.755,0.803
June-Juni,0.031,0.338,0.308
July-Juli,0.023,0.308,0.285
August-August,-0.000,0.522,0.523
September-September,0.050,0.361,0.311
October-Oktober,0.029,0.345,0.316
November-November,0.044,0.302,0.259
December-Dezember,0.042,0.345,0.303

看一下用新的embedding, 同种语言的类似词之间的相似度会提高多少(en)
 	January,February,March,April,May,June,July,August,September,October,November,December,Aver.(%)
January,-0.000,0.005,0.006,0.007,0.011,0.009,0.008,0.011,0.010,0.008,0.008,0.005,0.738%
February,0.005,0.000,0.003,0.004,0.006,0.007,0.007,0.007,0.007,0.004,0.004,0.004,0.480%
March,0.006,0.003,-0.000,0.002,0.004,0.005,0.005,0.006,0.005,0.003,0.003,0.004,0.382%
April,0.007,0.004,0.002,-0.000,0.002,0.003,0.004,0.004,0.003,0.002,0.003,0.005,0.334%
May,0.011,0.006,0.004,0.002,-0.000,0.002,0.004,0.004,0.004,0.003,0.004,0.006,0.415%
June,0.009,0.007,0.005,0.003,0.002,0.000,0.002,0.003,0.003,0.003,0.005,0.006,0.404%
July,0.008,0.007,0.005,0.004,0.004,0.002,0.000,0.002,0.004,0.004,0.007,0.007,0.454%
August,0.011,0.007,0.006,0.004,0.004,0.003,0.002,0.000,0.004,0.004,0.007,0.008,0.516%
September,0.010,0.007,0.005,0.003,0.004,0.003,0.004,0.004,0.000,0.002,0.005,0.006,0.446%
October,0.008,0.004,0.003,0.002,0.003,0.003,0.004,0.004,0.002,0.000,0.002,0.004,0.332%
November,0.008,0.004,0.003,0.003,0.004,0.005,0.007,0.007,0.005,0.002,0.000,0.003,0.424%
December,0.005,0.004,0.004,0.005,0.006,0.006,0.007,0.008,0.006,0.004,0.003,-0.000,0.475%

看一下新的word2vec下, 反义词之间会不会比原来的那个更不类似
 ,Word2Vec,MultiCVM,Delta,perc.
good-bad,0.761,0.794,0.033,4.390%
happy-sad,0.698,0.789,0.091,13.014%
big-small,0.423,0.435,0.012,2.941%
polite-rude,0.723,0.854,0.131,18.075%
cold-hot,0.748,0.789,0.041,5.532%
fast-slow,0.739,0.771,0.032,4.372%
below-above,0.856,0.832,-0.025,-2.880%
buy-sell,0.873,0.910,0.037,4.282%
good-perfect,0.665,0.707,0.042,6.314%
happy-pleased,0.725,0.754,0.029,3.932%
big-huge,0.715,0.751,0.036,5.077%
polite-courteous,0.777,0.934,0.157,20.271%
cold-chilly,0.628,0.807,0.178,28.362%
fast-quick,0.668,0.816,0.148,22.151%
below-beneath,0.512,0.509,-0.003,-0.565%
buy-purchase,0.790,0.786,-0.004,-0.517%

原来在word2vec的相似度排序 vs 现在在MultiCVM的相似度排序
good|bad|perfect,bad>perfect,bad>perfect
happy|sad|pleased,pleased>sad,sad>pleased
big|small|huge,huge>small,huge>small
polite|rude|courteous,courteous>rude,courteous>rude
cold|hot|chilly,hot>chilly,chilly>hot
fast|slow|quick,slow>quick,quick>slow
below|above|beneath,above>beneath,above>beneath
buy|sell|purchase,sell>purchase,sell>purchase
